Programming Language,Jul 2021,Jul 2020,Ratings(%),Change(%)
C,1,1,11.62,-4.83
Java,2,2,11.17,-3.93
Python,3,3,10.95,+1.86
C++,4,4,8.01,+1.80
C#,5,5,4.83,-0.42
Visual Basic,6,6,4.50,-0.73
JavaScript,7,7,2.71,+0.23
PHP,8,9,2.58,+0.68
Assembly Language,9,13,2.40,+1.46
SQL,10,11,1.53,+0.13
Classic Visual Basic,11,20,1.39,+0.73
R,12,8,1.32,-1.08
Go,13,12,1.17,-0.04
Fortran,14,50,1.12,+0.90
Groovy,15,24,1.09,+0.51
Swift,16,10,1.07,-0.37
Ruby,17,16,0.95,+0.14
Perl,18,14,0.90,+0.03
MATLAB,19,15,0.88,+0.05
Delphi/Object Pascal,20,30,0.85,+0.36
