Programming Language,Mar 2021,Mar 2020,Ratings(%),Change(%)
C,1,2,15.33,-1.00
Java,2,1,10.45,-7.33
Python,3,3,10.31,+0.20
C++,4,4,6.52,-0.27
C#,5,5,4.97,-0.35
Visual Basic,6,6,4.85,-0.40
JavaScript,7,7,2.11,+0.06
PHP,8,8,2.07,+0.05
Assembly Language,9,12,1.97,+0.72
SQL,10,9,1.87,+0.03
Go,11,10,1.31,+0.03
Classic Visual Basic,12,18,1.26,+0.49
R,13,11,1.25,-0.01
Delphi/Object Pascal,14,20,1.20,+0.48
Groovy,15,36,1.19,+0.94
Ruby,16,14,1.18,+0.13
Perl,17,17,1.15,+0.24
MATLAB,18,15,1.04,+0.05
Swift,19,13,0.95,-0.28
Objective-C,20,19,0.91,+0.17
