Programming Language,Dec 2022,Dec 2021,Ratings(%),Change(%)
Python,1,1,16.66,+3.76
C,2,2,16.56,+4.77
C++,3,4,11.94,+4.21
Java,4,3,11.82,+1.70
C#,5,5,4.92,-1.48
Visual Basic,6,6,3.94,-1.46
JavaScript,7,7,3.19,+0.90
SQL,8,9,2.22,+0.43
Assembly Language,9,8,1.87,-0.38
PHP,10,12,1.62,+0.12
R,11,11,1.25,-0.34
Go,12,19,1.15,+0.20
Classic Visual Basic,13,13,1.15,-0.13
MATLAB,14,20,0.95,+0.03
Swift,15,10,0.91,-0.86
Delphi/Object Pascal,16,16,0.85,-0.30
Ruby,17,15,0.81,-0.35
Perl,18,18,0.78,-0.18
Objective-C,19,29,0.71,+0.29
Rust,20,27,0.68,+0.23
