Programming Language,Feb 2022,Feb 2021,Ratings(%),Change(%)
Python,1,3,15.33,+4.47
C,2,1,14.08,-2.26
Java,3,2,12.13,+0.84
C++,4,4,8.01,+1.13
C#,5,5,5.37,+0.93
Visual Basic,6,6,5.23,+0.90
JavaScript,7,7,1.83,-0.45
PHP,8,8,1.79,+0.04
Assembly Language,9,10,1.60,-0.06
SQL,10,9,1.55,-0.18
Go,11,13,1.23,-0.05
Swift,12,15,1.18,+0.04
R,13,11,1.11,-0.45
MATLAB,14,16,1.03,-0.03
Delphi/Object Pascal,15,17,0.90,-0.12
Ruby,16,14,0.89,-0.35
Classic Visual Basic,17,18,0.83,-0.18
Objective-C,18,20,0.81,-0.08
Perl,19,19,0.79,-0.13
Groovy,20,12,0.74,-0.76
