Programming Language,Jun 2022,Jun 2021,Ratings(%),Change(%)
Python,1,2,12.20,+0.35
C,2,1,11.91,-0.64
Java,3,3,10.47,-1.07
C++,4,4,9.63,+2.26
C#,5,5,6.12,+1.79
Visual Basic,6,6,5.42,+1.40
JavaScript,7,7,2.09,-0.24
SQL,8,10,1.94,+0.06
Assembly Language,9,9,1.85,-0.21
Swift,10,16,1.55,+0.44
Classic Visual Basic,11,11,1.33,-0.40
Delphi/Object Pascal,12,18,1.32,+0.26
PHP,13,8,1.25,-0.97
Objective-C,14,23,1.02,+0.33
Go,15,20,1.02,+0.07
R,16,14,0.98,-0.22
Perl,17,15,0.76,-0.41
Lua,18,38,0.76,+0.43
Ruby,19,13,0.75,-0.48
Prolog,20,26,0.74,+0.18
